4#1/1/2020 0:00:00#31/1/2020 0:00:00#1#100#50
5#1/2/2020 0:00:00#31/7/2020 0:00:00#1#150#60
6#1/3/2020 0:00:00#25/8/2020 0:00:00#2#50#100
7#1/4/2020 0:00:00#26/6/2020 0:00:00#1#50#80
8#1/5/2020 0:00:00#3/7/2020 0:00:00#6#30#1000
9#4/5/2020 0:00:00#28/5/2020 0:00:00#14#50#2000
10#4/5/2020 0:00:00#28/5/2020 0:00:00#13#50#1000
11#1/5/2020 0:00:00#8/5/2020 0:00:00#5#5#5
12#1/1/2020 0:00:00#3/3/2020 0:00:00#3#3#1010
13#2/3/2020 0:00:00#3/3/2020 0:00:00#3#3#10
14#1/5/2020 0:00:00#30/5/2020 0:00:00#16#33#3000
15#1/5/2020 0:00:00#3/5/2020 0:00:00#16#20#4000
16#1/5/2020 0:00:00#17/5/2020 0:00:00#10#23#230
17#1/2/2020 0:00:00#7/5/2020 0:00:00#8#10#30
18#1/5/2020 0:00:00#10/5/2020 0:00:00#8#30#30
19#6/2/2020 0:00:00#31/12/2020 0:00:00#8#35#45
21#1/5/2020 0:00:00#9/5/2020 0:00:00#9#10#10
22#9/5/2020 0:00:00#10/5/2020 0:00:00#22#3#30
23#28/4/2020 0:00:00#13/5/2020 0:00:00#27#20#150
24#30/4/2020 0:00:00#10/5/2020 0:00:00#27#120#100
25#9/5/2020 0:00:00#10/5/2020 0:00:00#15#10#1500
26#11/5/2020 0:00:00#12/5/2020 0:00:00#14#60#1500
27#10/5/2020 0:00:00#11/5/2020 0:00:00#20#10#100
28#11/5/2020 0:00:00#12/5/2020 0:00:00#20#10#110

