4#1/1/2020 0:00:00#31/1/2020 0:00:00#1#100#50
5#1/2/2020 0:00:00#31/7/2020 0:00:00#1#150#60
6#1/3/2020 0:00:00#25/8/2020 0:00:00#2#50#100
8#1/5/2020 0:00:00#3/7/2020 0:00:00#6#30#1000
9#4/5/2020 0:00:00#28/5/2020 0:00:00#14#50#2000
10#4/5/2020 0:00:00#28/5/2020 0:00:00#13#50#1000
40#14/5/2020 0:00:00#22/5/2020 0:00:00#31#120#100
41#19/5/2020 0:00:00#28/5/2020 0:00:00#31#20#150
42#1/4/2020 0:00:00#6/4/2020 0:00:00#31#200#50
43#27/5/2020 0:00:00#7/6/2020 0:00:00#31#100#110
49#12/3/2020 0:00:00#30/5/2020 0:00:00#22#100#300

